make,model_gen,generation,segment,country,level,series,latest_year,stock,rarity_tier,cumulative_sales,survival,history_years,attrition,relative_attrition,n_peers,inflection_year,inflection_age,sorn_ratio
FERRARI,348,348,SUPERCAR,NL,generation,RDW,2026,122,<500,,1.0,0,,,0,,,
FERRARI,360,360,SUPERCAR,GB,generation,VEH0124,2025,446,<500,1227,0.3634881825590872,9,0.07045812204498302,0.024658487128062255,6,,,0.5517587939698493
FERRARI,360,360,SUPERCAR,NL,generation,RDW,2026,261,<500,,1.0,0,,,0,,,
FERRARI,456,456,COUPE,NL,generation,RDW,2026,93,<100,,1.0,0,,,0,,,
FERRARI,458,458,SUPERCAR,GB,generation,VEH0124,2025,877,>=500,1861,0.4712520150456744,9,0.04507210697364827,-0.0031546453763581297,11,2025,0,0.4522173641474079
FERRARI,458,458,SUPERCAR,NL,generation,RDW,2026,267,<500,,1.0,0,,,0,,,
FERRARI,550,550,SUPERCAR,NL,generation,RDW,2026,40,<100,,1.0,0,,,0,,,
FERRARI,575M,575M,SUPERCAR,GB,generation,VEH0124,2025,99,<100,242,0.4090909090909091,9,0.02589180172241608,-0.01990783319450468,6,2025,0,0.5732758620689655
FERRARI,575M,575M,SUPERCAR,NL,generation,RDW,2026,41,<100,,1.0,0,,,0,,,
FERRARI,599,599,SUPERCAR,GB,generation,VEH0124,2025,199,<500,499,0.39879759519038077,9,0.04089852925313253,-0.004591065688646714,9,2021,4,0.5393518518518519
FERRARI,599,599,SUPERCAR,NL,generation,RDW,2026,155,<500,,1.0,0,,,0,,,
FERRARI,612,612,COUPE,GB,generation,VEH0124,2025,140,<500,270,0.5185185185185185,9,0.06468753247041517,-0.02248182120332752,25,2021,4,0.4190871369294606
FERRARI,612,612,COUPE,NL,generation,RDW,2026,74,<100,,1.0,0,,,0,,,
FERRARI,CALIFORNIA,F149,ROADSTER,GB,generation,VEH0124,2025,1138,>=500,1007,0.805378627034678,9,0.033934429485640426,0.002448417310756436,14,,,0.2478519497686715
FERRARI,CALIFORNIA,F149,ROADSTER,NL,generation,RDW,2026,265,<500,,1.0,0,,,0,,,
FERRARI,F355,F355,SUPERCAR,NL,generation,RDW,2026,138,<500,,1.0,0,,,0,,,
FERRARI,F430,F430,SUPERCAR,GB,generation,VEH0124,2025,672,>=500,2031,0.3308714918759232,9,0.03790798689735426,-0.007581608044424988,9,2023,2,0.5412969283276451
FERRARI,F430,F430,SUPERCAR,NL,generation,RDW,2026,288,<500,,1.0,0,,,0,,,
FIAT,BARCHETTA,183,ROADSTER,GB,generation,VEH0124,2025,219,<500,507,0.4319526627218935,9,0.09125821380828898,0.021150055096179357,15,,,0.7322738386308069
FIAT,BARCHETTA,183,ROADSTER,NL,generation,RDW,2026,1324,>=500,,1.0,0,,,0,,,
FIAT,COUPE,175,COUPE,GB,generation,VEH0124,2025,504,>=500,,0.32727272727272727,9,0.06850469793765254,-0.03516322765189597,26,2020,5,0.7675276752767528
FIAT,COUPE,175,COUPE,NL,generation,RDW,2026,374,<500,,1.0,0,,,0,,,
FIAT,PUNTO GT,176,GTI,GB,generation,VEH0124,2025,35,<100,,0.2966101694915254,9,0.11223423235241829,0.02485376948088054,24,,,0.8813559322033898
FIAT,PUNTO GT,176,GTI,NL,generation,RDW,2026,22,<100,,1.0,0,,,0,,,
FIAT,PUNTO HGT,176,GTI,GB,generation,VEH0124,2025,32,<100,1119,0.028596961572832886,9,0.22575089865476583,0.09158839060036603,34,,,0.8709677419354839
FORD,ESCORT RS COSWORTH,MK5,SPORTIVE,GB,generation,VEH0124,2025,246,<500,,0.6119402985074627,9,0.018458941210038226,-0.04421109104106061,19,2025,0,0.8217391304347826
FORD,ESCORT RS COSWORTH,MK5,SPORTIVE,NL,generation,RDW,2026,60,<100,,1.0,0,,,0,,,
FORD,ESCORT RS TURBO,MK4,GTI,GB,generation,VEH0124,2025,477,<500,,0.6588397790055248,9,0.03765798300740782,-0.0041230298907767166,6,2025,0,0.8934554389099844
FORD,ESCORT RS TURBO,MK4,GTI,NL,generation,RDW,2026,115,<500,,1.0,0,,,0,,,
FORD,ESCORT RS2000,MK5,GTI,GB,generation,VEH0124,2025,689,>=500,,1.0,9,-0.025629792067558332,-0.0888869113853249,15,2017,8,0.6851005484460695
FORD,ESCORT RS2000,MK5,GTI,NL,generation,RDW,2026,111,<500,,1.0,0,,,0,,,
FORD,ESCORT XR3I,MK3_MK4,GTI,GB,generation,VEH0124,2025,405,<500,,0.6738768718801996,9,-0.030950308142230747,-0.07273132104041528,6,2024,1,0.8578448578448579
FORD,ESCORT XR3I,MK3_MK4,GTI,NL,generation,RDW,2026,107,<500,,1.0,0,,,0,,,
FORD,ESCORT XR3I,MK5,GTI,GB,generation,VEH0124,2025,79,<100,,0.3744075829383886,9,0.04714642987622789,-0.01611068944153867,15,2025,0,0.8930987821380244
FORD,ESCORT XR3I,MK5,GTI,NL,generation,RDW,2026,33,<100,,1.0,0,,,0,,,
FORD,FIESTA ST,MK6,GTI,GB,generation,VEH0124,2025,4891,>=500,16654,0.2936831992314159,9,0.12960251597178477,0.002694383454909577,43,,,0.47622617262797173
FORD,FIESTA ST,MK6,GTI,NL,generation,RDW,2026,5,<20,,1.0,0,,,0,,,
FORD,FIESTA ST,MK7,GTI,GB,generation,VEH0124,2025,21984,>=500,30377,0.7237054350330843,9,0.044171175750059986,-0.00443925816759673,30,2025,0,0.07669046619067618
FORD,FIESTA ST,MK7,GTI,NL,generation,RDW,2026,13,<20,,1.0,0,,,0,,,
FORD,FOCUS RS,MK1,GTI,GB,generation,VEH0124,2025,334,<500,1993,0.16758655293527347,9,0.08346734949635352,-0.05069515855804628,34,2022,3,0.7861715749039693
FORD,FOCUS RS,MK1,GTI,NL,generation,RDW,2026,44,<100,,1.0,0,,,0,,,
FORD,FOCUS RS,MK2,GTI,GB,generation,VEH0124,2025,1606,>=500,4029,0.39861007694216927,9,0.06398296380816425,-0.06292516870871094,43,2025,0,0.5233006826951617
FORD,FOCUS RS,MK2,GTI,NL,generation,RDW,2026,1,<20,,1.0,0,,,0,,,
FORD,FOCUS ST,MK2,GTI,GB,generation,VEH0124,2025,10903,>=500,22664,0.4810713025061772,9,0.08651660287302314,-0.04039152964385205,43,2023,2,0.3312273814635343
FORD,FOCUS ST,MK2,GTI,NL,generation,RDW,2026,22,<100,,1.0,0,,,0,,,
FORD,PUMA,MK1,COUPE,GB,generation,VEH0124,2025,1303,>=500,19007,0.06070064287710798,9,0.17636002835349462,0.07269210276394611,26,,,0.8014627456955661
FORD,PUMA,MK1,COUPE,NL,generation,RDW,2026,203,<500,,1.0,0,,,0,,,
FORD,SIERRA COSWORTH,MK2,SPORTIVE,GB,generation,VEH0124,2025,650,>=500,,0.6639427987742594,9,0.04811726304524275,0.010186238318853603,8,,,0.848449522033108
FORD,SIERRA COSWORTH,MK2,SPORTIVE,NL,generation,RDW,2026,173,<500,,1.0,0,,,0,,,
FORD,SIERRA XR4I,MK1,SPORTIVE,GB,generation,VEH0124,2025,262,<500,,1.0,9,-0.3274360708370586,,1,,,0.7111356119073869
FORD,SIERRA XR4I,MK1,SPORTIVE,NL,generation,RDW,2026,3,<20,,1.0,0,,,0,,,
FORD,SIERRA XR4X4,MK2,SPORTIVE,GB,generation,VEH0124,2025,125,<500,,0.44964028776978415,9,0.051820385486334296,0.013889360759945152,8,,,0.9009508716323297
FORD,SIERRA XR4X4,MK2,SPORTIVE,NL,generation,RDW,2026,28,<100,,1.0,0,,,0,,,
HONDA,ACCORD TYPE R,CH1,GTI,GB,generation,VEH0124,2025,137,<500,676,0.16042154566744732,9,0.15628929501202388,0.06890883214048613,24,,,0.8017366136034733
HONDA,ACCORD TYPE R,CH1,GTI,NL,generation,RDW,2026,2,<20,,1.0,0,,,0,,,
HONDA,CIVIC TYPE R,EK9,GTI,GB,generation,VEH0124,2025,35,<100,,0.33653846153846156,9,0.060674989791511785,-0.026705473080025965,24,2025,0,0.7988505747126436
HONDA,CIVIC TYPE R,EK9,GTI,NL,generation,RDW,2026,3,<20,,1.0,0,,,0,,,
HONDA,CIVIC TYPE R,EP3,GTI,GB,generation,VEH0124,2025,4128,>=500,20004,0.20635872825434912,9,0.11095826097521962,-0.023204247079180187,34,2023,2,0.5724052206339342
HONDA,CIVIC TYPE R,EP3,GTI,NL,generation,RDW,2026,11,<20,,1.0,0,,,0,,,
HONDA,CIVIC TYPE R,FN2,GTI,GB,generation,VEH0124,2025,7164,>=500,13175,0.5437571157495256,9,0.08101973377194761,-0.045888398744927575,43,2024,1,0.22501081782778018
HONDA,CIVIC TYPE R,FN2,GTI,NL,generation,RDW,2026,10,<20,,1.0,0,,,0,,,
HONDA,CRX,ED9_EE8,COUPE,GB,generation,VEH0124,2025,109,<500,,0.2725,9,0.07614252598240598,0.027761953300892886,7,,,0.8323076923076923
HONDA,CRX,ED9_EE8,COUPE,NL,generation,RDW,2026,576,>=500,,1.0,0,,,0,,,
HONDA,CRX DEL SOL,EG,ROADSTER,NL,generation,RDW,2026,6,<20,,1.0,0,,,0,,,
HONDA,INTEGRA TYPE R,DC2,GTI,GB,generation,VEH0124,2025,213,<500,41,0.2886178861788618,9,0.08886039199068718,0.0014799291191494313,24,,,0.74822695035461
HONDA,INTEGRA TYPE R,DC2,GTI,NL,generation,RDW,2026,81,<100,,1.0,0,,,0,,,
HONDA,INTEGRA TYPE R,DC5,GTI,GB,generation,VEH0124,2025,240,<500,332,0.6575342465753424,9,0.02539434128751109,-0.10876816676688872,34,2017,8,0.5375722543352601
HONDA,INTEGRA TYPE R,DC5,GTI,NL,generation,RDW,2026,14,<20,,1.0,0,,,0,,,
HONDA,NSX,NA1_NA2,SUPERCAR,GB,generation,VEH0124,2025,183,<500,104,0.7204724409448819,9,-0.011124856875118704,,2,,,0.5763888888888888
HONDA,NSX,NA1_NA2,SUPERCAR,NL,generation,RDW,2026,48,<100,,1.0,0,,,0,,,
HONDA,PRELUDE,BB,COUPE,GB,generation,VEH0124,2025,566,>=500,252,0.22169996083039561,9,0.0879728910471626,-0.01569503454238591,26,2025,0,0.7055150884495317
HONDA,PRELUDE,BB,COUPE,NL,generation,RDW,2026,473,<500,,1.0,0,,,0,,,
HONDA,S2000,AP1_AP2,ROADSTER,GB,generation,VEH0124,2025,3073,>=500,7994,0.38441330998248685,9,0.061865642246754206,-0.011407441173462353,23,2025,0,0.5232702451132485
HONDA,S2000,AP1_AP2,ROADSTER,NL,generation,RDW,2026,728,>=500,,1.0,0,,,0,,,
JAGUAR,F-TYPE,X152,SPORTIVE,GB,generation,VEH0124,2025,15088,>=500,14298,0.9884696016771488,9,-0.012550771374613218,-0.03939760855060757,17,2021,4,0.09015256588072122
JAGUAR,F-TYPE,X152,SPORTIVE,NL,generation,RDW,2026,967,>=500,,1.0,0,,,0,,,
JAGUAR,S-TYPE R,X200,PREMIUM,GB,generation,VEH0124,2025,422,<500,1233,0.3422546634225466,9,0.10015974278901273,-0.04664876907071984,8,2020,5,0.4891041162227603
JAGUAR,S-TYPE R,X200,PREMIUM,NL,generation,RDW,2026,7,<20,,1.0,0,,,0,,,
JAGUAR,XJ,X300_X308,PREMIUM,GB,generation,VEH0124,2025,2966,>=500,7391,0.21592894583576006,9,0.13436581275279405,0.0029718441922921834,7,,,0.718141214482562
JAGUAR,XJ,X300_X308,PREMIUM,NL,generation,RDW,2026,732,>=500,,1.0,0,,,0,,,
JAGUAR,XJS,XJS,COUPE,GB,generation,VEH0124,2025,2134,>=500,,0.654601226993865,9,0.03424271956428645,,1,,,0.7483490566037736
JAGUAR,XJS,XJS,COUPE,NL,generation,RDW,2026,848,>=500,,1.0,0,,,0,,,
JAGUAR,XK,X100,COUPE,GB,generation,VEH0124,2025,6301,>=500,10650,0.4930745754753893,9,0.07683097057114374,-0.04704956159040406,28,2017,8,0.5362478840067711
JAGUAR,XK,X100,COUPE,NL,generation,RDW,2026,1265,>=500,,1.0,0,,,0,,,
JAGUAR,XK,X150,COUPE,GB,generation,VEH0124,2025,9712,>=500,14838,0.6545356517050815,9,0.03847941206643701,-0.04868994160730568,25,2025,0,0.27893681787809044
JAGUAR,XK,X150,COUPE,NL,generation,RDW,2026,457,<500,,1.0,0,,,0,,,
LANCIA,DELTA INTEGRALE,831,SPORTIVE,GB,generation,VEH0124,2025,188,<500,,0.7175572519083969,9,0.00707637913427482,-0.030854645592114323,8,2020,5,0.8091370558375635
LANCIA,DELTA INTEGRALE,831,SPORTIVE,NL,generation,RDW,2026,336,<500,,1.0,0,,,0,,,
LANCIA,THEMA,Y9,PREMIUM,GB,generation,VEH0124,2025,11,<20,,0.2558139534883721,9,0.14520541144011698,0.06194289698474453,3,,,0.930379746835443
LANCIA,THEMA,Y9,PREMIUM,NL,generation,RDW,2026,269,<500,,1.0,0,,,0,,,
LANCIA,THEMA 8.32,Y9,PREMIUM,GB,generation,VEH0124,2025,5,<20,,0.8333333333333334,9,0.00016616250871819468,-0.08309635194665425,3,2021,4,0.8484848484848485
LANCIA,THEMA 8.32,Y9,PREMIUM,NL,generation,RDW,2026,65,<100,,1.0,0,,,0,,,
LEXUS,IS-F,XE20,SPORTIVE,GB,generation,VEH0124,2025,161,<500,254,0.6338582677165354,9,0.03157067318169516,-0.03305770278994343,34,2025,0,0.23696682464454977
LEXUS,IS-F,XE20,SPORTIVE,NL,generation,RDW,2026,78,<100,,1.0,0,,,0,,,
LEXUS,LS400,XF10_XF20,PREMIUM,GB,generation,VEH0124,2025,686,>=500,,0.25857519788918204,9,0.11988313195652178,0.01751798380265239,6,,,0.6508905852417303
LEXUS,LS400,XF10_XF20,PREMIUM,NL,generation,RDW,2026,143,<500,,1.0,0,,,0,,,
